GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CarcasaJavaFX,default,FadeApp,233,0,2,0,49,0,10,0,9,0
CarcasaJavaFX,default,FadeApp.new Task() {...},106,0,2,0,14,0,3,0,2,0
CarcasaJavaFX,h2app,H2Tasks.DatabaseThreadFactory,22,0,0,0,5,0,3,0,3,0
CarcasaJavaFX,h2app,H2Tasks.DBSetupTask,92,0,4,0,27,0,7,0,5,0
CarcasaJavaFX,h2app,H2Tasks,207,0,2,0,42,0,12,0,11,0
CarcasaJavaFX,h2app,H2Tasks.DBTask,17,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,h2app,H2Tasks.FetchNamesTask,48,0,2,0,12,0,4,0,3,0
CarcasaJavaFX,concurrent,PrimeUtil,39,0,8,0,8,0,6,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample2.new EventHandler() {...},11,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample3.new EventHandler() {...},29,0,2,0,7,0,3,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample2.new EventHandler() {...},12,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample3.new ScheduledService() {...},10,0,0,0,2,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample3.new EventHandler() {...},12,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample2.new Service() {...},10,0,0,0,2,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample3.new EventHandler() {...},8,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample3.new EventHandler() {...},11,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample1.new EventHandler() {...},10,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample1.new EventHandler() {...},12,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample2.new EventHandler() {...},8,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample3.new EventHandler() {...},19,0,0,0,4,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample1.new EventHandler() {...},13,0,0,0,3,0,2,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample2.new EventHandler() {...},29,0,2,0,7,0,3,0,2,0
CarcasaJavaFX,concurrent,FxConcurrentExample3,195,0,0,0,33,0,3,0,3,0
CarcasaJavaFX,concurrent,FxConcurrentExample1,138,0,0,0,27,0,4,0,4,0
CarcasaJavaFX,concurrent,FxConcurrentExample2,153,0,0,0,27,0,3,0,3,0
CarcasaJavaFX,concurrent,WorkerStateGUI.new ChangeListener() {...},21,0,2,0,5,0,3,0,2,0
CarcasaJavaFX,concurrent,PrimeFinderTask,123,0,8,0,40,0,11,0,7,0
CarcasaJavaFX,concurrent,WorkerStateGUI,422,0,0,0,50,0,4,0,4,0
CarcasaJavaFX,main,Main.new EventHandler() {...},52,0,0,0,8,0,2,0,2,0
CarcasaJavaFX,main,Main.new EventHandler() {...},87,0,0,0,22,0,4,0,4,0
CarcasaJavaFX,main,FiboCalcTask,43,0,4,0,10,0,5,0,3,0
CarcasaJavaFX,main,FXMain,32,0,0,0,11,0,3,0,3,0
CarcasaJavaFX,main,Main,145,0,0,0,33,0,4,0,4,0
CarcasaJavaFX,fx.controllers,FXMLAbrirSobreController,43,0,2,0,15,0,6,0,5,0
CarcasaJavaFX,fx.controllers,FXMLPagina2Controller,29,64,0,0,9,20,2,5,2,5
CarcasaJavaFX,fx.controllers,FXMLBorderPaneController,107,103,5,2,30,33,6,10,3,9
CarcasaJavaFX,fx.controllers,FXMLPrimeraPantallaController,0,34,0,0,0,11,0,5,0,5
